x,y,cat_id
-6.537326659803051,3.290572004510818,1
-6.564311718068007,3.2790065222864637,1
-6.59115684207819,3.2668759072301903,1
-6.61785537495886,3.254183167410984,1
-6.644400696185963,3.2409314502897804,1
-6.670786223227854,3.2271240419389753,1
-6.697005413177577,3.2127643662275696,1
-6.723051764375345,3.1978559839721377,1
-6.748918818020767,3.182402592053844,1
-6.774600159774465,3.166408022501711,1
-6.800089421348655,3.1498762415423815,1
-6.825380282086319,3.1328113486165967,1
-6.850466470528548,3.1152175753626503,1
-6.875341765969706,3.097099284567047,1
-6.8999999999999995,3.078460969082653,1
-6.924435058035073,3.0593072507145878,1
-6.9486408808322615,3.0396428790741408,1
-6.972611465993132,3.0194727304009894,1
-6.996340869451906,2.9988018063540274,1
-7.019823206949436,2.9776352327710844,1
-7.0430526554923425,2.9559782583978547,1
-7.066023454796963,2.933836253586348,1
-7.088729908717747,2.911214708963186,1
-7.111166386659747,2.8881192340680752,1
-7.133327324974859,2.864555555962787,1
-7.155207228341457,2.840529517811002,1
-7.1768006711270855,2.816047077429359,1
-7.1981022987338745,2.791114305810079,1
-7.219106828926334,2.765737385615516,1
-7.239809053141208,2.739922609645026,1
-7.260203837779061,2.7136763792745193,1
-7.280286125477271,2.6870052028690883,1
-7.300050936364125,2.6599156941691087,1
-7.319493369293688,2.6324145706502065,1
-7.338608603061162,2.6045086518575067,1
-7.357391897598413,2.5762048577145626,1
-7.375838595149386,2.547510206807404,1
-7.393944121425095,2.518431814644113,1
-7.411703986737935,2.488976891890368,1
-7.429113787115001,2.4591527425813906,1
-7.4461692053901505,2.4289667623107394,1
-7.462866012274554,2.398426436396404,1
-7.479200067405441,2.367539338024639,1
-7.4951673203728015,2.33631312637202,1
-7.510763811723776,2.3047555447061736,1
-7.525985673944501,2.2728744184656495,1
-7.54082913241914,2.2406776533194215,1
-7.555290506365898,2.208173233206495,1
-7.569366209749749,2.175369218356102,1
-7.58305275217168,2.1422737432889765,1
-7.596346739734218,2.108895014800213,1
-7.609244875883025,2.0752413099242015,1
-7.621743962224354,2.0413209738821396,1
-7.633840899318168,2.007142418012643,1
-7.6455326874467175,1.9727141176859577,1
-7.656816427358388,1.938044610202295,1
-7.667689320986643,1.9031424926748055,1
-7.678148672143863,1.8680164198977272,1
-7.688191887189934,1.8326751022002283,1
-7.697816475675395,1.7971273032864745,1
-7.707020050959009,1.7613818380624662,1
-7.715800330799585,1.725447570450176,1
-7.724155137921907,1.6893334111895353,1
-7.732082400556651,1.6530483156288045,1
-7.739580152954117,1.6166012815038866,1
-7.746646535871691,1.5800013467071297,1
-7.7532797970348835,1.5432575870461727,1
-7.75947829157185,1.5063791139933815,1
-7.765240482421269,1.4693750724264507,1
-7.7705649407135,1.4322546383607202,1
-7.7754503461249005,1.3950270166737617,1
-7.7798954872052315,1.3577014388228192,1
-7.783899261678066,1.320287160555652,1
-7.787460676714123,1.2827934596153598,1
-7.790578849177464,1.2452296334397432,1
-7.793253005844486,1.2076049968557916,1
-7.79548248359566,1.1699288797698566,1
-7.797266729579969,1.1322106248540773,1
-7.798605301351998,1.0944595852296533,1
-7.79949786698165,1.0566851221475146,1
-7.799944205136454,1.018896602666989,1
-7.799944205136454,0.9811033973330117,1
-7.79949786698165,0.9433148778524849,1
-7.798605301351998,0.9055404147703474,1
-7.797266729579969,0.8677893751459231,1
-7.79548248359566,0.8300711202301441,1
-7.793253005844486,0.792395003144208,1
-7.790578849177464,0.7547703665602572,1
-7.787460676714123,0.7172065403846408,1
-7.783899261678066,0.6797128394443483,1
-7.7798954872052315,0.6422985611771812,1
-7.7754503461249005,0.6049729833262389,1
-7.7705649407135,0.5677453616392802,1
-7.765240482421269,0.5306249275735486,1
-7.75947829157185,0.49362088600661913,1
-7.753279797034884,0.456742412953828,1
-7.746646535871691,0.419998653292871,1
-7.739580152954117,0.38339871849611384,1
-7.732082400556651,0.34695168437119595,1
-7.724155137921908,0.31066658881046494,1
-7.715800330799585,0.2745524295498236,1
-7.707020050959009,0.23861816193753427,1
